iteration,found,kernels,predicted_coverage,rejected,basin,flaws,oracle_version
1,500,60,473,0,783,439,oracle:v1
2,968,60,960,0,783,376,oracle:v2
3,843,60,836,0,783,312,oracle:v3
4,848,60,845,2,783,238,oracle:v4
5,1162,60,1137,0,783,181,oracle:v5
6,966,60,865,0,783,131,oracle:v6
7,716,60,587,0,783,100,oracle:v7
8,668,60,514,0,783,73,oracle:v8
9,518,60,395,0,783,55,oracle:v9
10,462,60,333,0,783,45,oracle:v10
11,347,60,263,0,783,37,oracle:v11
12,295,60,223,0,783,28,oracle:v12
13,239,60,184,2,783,21,oracle:v13
14,186,60,163,0,783,11,oracle:v14
15,169,60,164,3,783,4,oracle:v15
16,148,52,146,3,783,0,oracle:v16
